"Gene.stable.ID"	"Transcript.stable.ID"	"Gene.name"	"Zebrafish.gene.stable.ID"	"Zebrafish.gene.name"
"3001"	"ENSG00000121351"	"ENST00000542023"	"IAPP"	"ENSDARG00000105976"	"LO017820.1"
"3002"	"ENSG00000121351"	"ENST00000537593"	"IAPP"	"ENSDARG00000105976"	"LO017820.1"
"3003"	"ENSG00000121351"	"ENST00000535428"	"IAPP"	"ENSDARG00000105976"	"LO017820.1"
"3511"	"ENSG00000277641"	"ENST00000616347"	"WNT3"	""	""
"3512"	"ENSG00000277641"	"ENST00000632508"	"WNT3"	""	""
"3513"	"ENSG00000277641"	"ENST00000633989"	"WNT3"	""	""
"3514"	"ENSG00000277641"	"ENST00000631815"	"WNT3"	""	""
"3523"	"ENSG00000181408"	"ENST00000313135"	"UTS2R"	"ENSDARG00000009624"	"UTS2R"
"3542"	"ENSG00000277554"	"ENST00000614792"	"KIR2DL3"	""	""
"3599"	"ENSG00000180210"	"ENST00000311907"	"F2"	"ENSDARG00000036041"	"f2"
"3600"	"ENSG00000180210"	"ENST00000469189"	"F2"	"ENSDARG00000036041"	"f2"
"3601"	"ENSG00000180210"	"ENST00000530231"	"F2"	"ENSDARG00000036041"	"f2"
"3602"	"ENSG00000180210"	"ENST00000442468"	"F2"	"ENSDARG00000036041"	"f2"
"3603"	"ENSG00000180210"	"ENST00000490274"	"F2"	"ENSDARG00000036041"	"f2"
"3793"	"ENSG00000244207"	"ENST00000375295"	"C4A"	""	""
"3794"	"ENSG00000244207"	"ENST00000491759"	"C4A"	""	""
"3795"	"ENSG00000244207"	"ENST00000488233"	"C4A"	""	""
"3796"	"ENSG00000244207"	"ENST00000467619"	"C4A"	""	""
"3797"	"ENSG00000244207"	"ENST00000488360"	"C4A"	""	""
"3798"	"ENSG00000244207"	"ENST00000488693"	"C4A"	""	""
"3799"	"ENSG00000244207"	"ENST00000492166"	"C4A"	""	""
"3800"	"ENSG00000244207"	"ENST00000490545"	"C4A"	""	""
"3801"	"ENSG00000244207"	"ENST00000470477"	"C4A"	""	""
"3802"	"ENSG00000244207"	"ENST00000475612"	"C4A"	""	""
"3803"	"ENSG00000244207"	"ENST00000482524"	"C4A"	""	""
"3804"	"ENSG00000244207"	"ENST00000473768"	"C4A"	""	""
"3805"	"ENSG00000244207"	"ENST00000488163"	"C4A"	""	""
"3806"	"ENSG00000244207"	"ENST00000546746"	"C4A"	""	""
"4198"	"ENSG00000115310"	"ENST00000394609"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4199"	"ENSG00000115310"	"ENST00000405240"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4200"	"ENSG00000115310"	"ENST00000357376"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4201"	"ENSG00000115310"	"ENST00000337526"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4202"	"ENSG00000115310"	"ENST00000317610"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4203"	"ENSG00000115310"	"ENST00000357732"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4204"	"ENSG00000115310"	"ENST00000394611"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4205"	"ENSG00000115310"	"ENST00000404909"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4206"	"ENSG00000115310"	"ENST00000486085"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4207"	"ENSG00000115310"	"ENST00000491592"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4208"	"ENSG00000115310"	"ENST00000485749"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4209"	"ENSG00000115310"	"ENST00000438462"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4210"	"ENSG00000115310"	"ENST00000427710"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
"4211"	"ENSG00000115310"	"ENST00000461004"	"RTN4"	"ENSDARG00000044601"	"rtn4a"
